timestamp,model,machine,status,returncode,duration_sec,best_percentile,best_threshold,precision,recall,f1,pred_anomalies,true_anomalies,log_path,command,error
2026-04-20T16:57:57,iforest,machine-1-1,ok,0,5.958,99.5,0.66757,0.335842,0.387202,0.359698,3189,2766,results/logs/iforest__machine-1-1.log,"python train_iforest.py --window 10 --stride 1 --smooth-k 5 --percentiles 99.0,99.5,99.9 --machine machine-1-1",
2026-04-20T16:58:03,iforest,machine-1-2,ok,0,2.029,99.0,0.523964,0.599462,0.352848,0.444223,372,632,results/logs/iforest__machine-1-2.log,"python train_iforest.py --window 10 --stride 1 --smooth-k 5 --percentiles 99.0,99.5,99.9 --machine machine-1-2",
2026-04-20T16:58:05,iforest,machine-1-3,ok,0,1.924,99.0,0.595692,0.354916,0.16,0.220566,417,925,results/logs/iforest__machine-1-3.log,"python train_iforest.py --window 10 --stride 1 --smooth-k 5 --percentiles 99.0,99.5,99.9 --machine machine-1-3",
2026-04-20T16:58:07,iforest,machine-1-4,ok,0,1.916,99.0,0.583133,0.412926,0.277778,0.33213,557,828,results/logs/iforest__machine-1-4.log,"python train_iforest.py --window 10 --stride 1 --smooth-k 5 --percentiles 99.0,99.5,99.9 --machine machine-1-4",
2026-04-20T16:58:09,iforest,machine-1-5,ok,0,1.955,99.5,0.585328,0.236842,0.276074,0.254958,190,163,results/logs/iforest__machine-1-5.log,"python train_iforest.py --window 10 --stride 1 --smooth-k 5 --percentiles 99.0,99.5,99.9 --machine machine-1-5",
2026-04-20T16:58:11,iforest,machine-1-6,ok,0,1.955,99.9,0.637138,0.369056,0.831071,0.511132,8958,3978,results/logs/iforest__machine-1-6.log,"python train_iforest.py --window 10 --stride 1 --smooth-k 5 --percentiles 99.0,99.5,99.9 --machine machine-1-6",
2026-04-20T16:58:13,iforest,machine-1-7,ok,0,2.015,99.0,0.562242,0.424528,0.053678,0.095305,318,2515,results/logs/iforest__machine-1-7.log,"python train_iforest.py --window 10 --stride 1 --smooth-k 5 --percentiles 99.0,99.5,99.9 --machine machine-1-7",
2026-04-20T16:58:15,iforest,machine-1-8,ok,0,1.979,99.0,0.611937,0.156028,0.163309,0.159585,987,943,results/logs/iforest__machine-1-8.log,"python train_iforest.py --window 10 --stride 1 --smooth-k 5 --percentiles 99.0,99.5,99.9 --machine machine-1-8",
2026-04-20T16:58:17,iforest,machine-2-1,ok,0,2.033,99.0,0.536258,0.634146,0.161616,0.257585,328,1287,results/logs/iforest__machine-2-1.log,"python train_iforest.py --window 10 --stride 1 --smooth-k 5 --percentiles 99.0,99.5,99.9 --machine machine-2-1",
2026-04-20T16:58:19,iforest,machine-2-2,ok,0,1.976,99.0,0.548383,0.276923,0.036835,0.065021,390,2932,results/logs/iforest__machine-2-2.log,"python train_iforest.py --window 10 --stride 1 --smooth-k 5 --percentiles 99.0,99.5,99.9 --machine machine-2-2",
